"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @FernandoDValle: Para triunfitos sí ha habido Medalla de Andalucía. El director de ""El País"", también la tiene.  https://t.co/jaLgbHU1NA",FALSE,0,NA,2017-11-12 15:32:35,FALSE,NA,"929733670709100544",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","am_ramosnieto",11,TRUE,FALSE,NA,NA
"2","RT @cineenserio: Desde Cine en Serio no queríamos dejar de mostrar nuestro homenaje al gran Chiquito de la Calzada. Por ello recuperamos nu…",FALSE,0,NA,2017-11-12 15:29:02,FALSE,NA,"929732777829961729",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RabbitASecas",8,TRUE,FALSE,NA,NA
"3","RT @cineenserio: Desde Cine en Serio no queríamos dejar de mostrar nuestro homenaje al gran Chiquito de la Calzada. Por ello recuperamos nu…",FALSE,0,NA,2017-11-12 15:26:26,FALSE,NA,"929732124202164225",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HdGayu",8,TRUE,FALSE,NA,NA
"4","RT @cineenserio: Desde Cine en Serio no queríamos dejar de mostrar nuestro homenaje al gran Chiquito de la Calzada. Por ello recuperamos nu…",FALSE,0,NA,2017-11-12 15:25:49,FALSE,NA,"929731968861921281",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Sir_Malvado",8,TRUE,FALSE,NA,NA
"5","RT @cineenserio: Desde Cine en Serio no queríamos dejar de mostrar nuestro homenaje al gran Chiquito de la Calzada. Por ello recuperamos nu…",FALSE,0,NA,2017-11-12 15:25:01,FALSE,NA,"929731768437100544",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TxabyJJ",8,TRUE,FALSE,NA,NA
"6","Este artículo de @perezreverte sobre Chiquito de la Calzada de hace 20 años. @santiago_mruiz lo rescata. https://t.co/U5CLFaFoA5",FALSE,1,NA,2017-11-12 15:23:27,FALSE,NA,"929731373329346562",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","juanromerafadon",0,FALSE,FALSE,NA,NA
"7","RT @cineenserio: Desde Cine en Serio no queríamos dejar de mostrar nuestro homenaje al gran Chiquito de la Calzada. Por ello recuperamos nu…",FALSE,0,NA,2017-11-12 15:22:11,FALSE,NA,"929731055669694464",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","vigalondo",8,TRUE,FALSE,NA,NA
"8","RT @agustinrivera: Mi crónica urgente del funeral de Chiquito de la Calzada en Málaga. Ya en https://t.co/nXdNTTI83H #ChiquitoDEP",FALSE,0,NA,2017-11-12 15:21:15,FALSE,NA,"929730818964115456",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","juanromerafadon",4,TRUE,FALSE,NA,NA
"9","RT @MalagaLimonar: Descanse en Paz el gran humorista Chiquito de la Calzada. Hacer reír, también es una de las mejores formas de servir a l…",FALSE,0,NA,2017-11-12 15:12:33,FALSE,NA,"929728630858674184",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","doctoresoliva",2,TRUE,FALSE,NA,NA
"10","RT @AlberFenoll: El respeto de #LaRosaleda y con mención especial a Chiquito de la Calzada. https://t.co/AGEAlGZQEe",FALSE,0,NA,2017-11-12 15:11:31,FALSE,NA,"929728370690142209",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SergiioAtenciia",26,TRUE,FALSE,NA,NA
